ts,session,venue,order_id,client_id,sleeve,instrument,side,qty,order_type,time_in_force,limit_price,reference_price,notional,reason,status,reject_reason,fill_price,fee
2026-11-15 06:00:00-05:00,weekend,crypto,crypto-1,20261115T060000-eth,eth,ETH-USD,buy,0.05714,limit,day,2770.53,2765.0,158.30808420000002,below band: 13.33% vs 13.50%-16.50%,filled,,2767.2119999999995,0.15811849367999997
2026-11-15 06:00:00-05:00,weekend,crypto,crypto-2,20261115T060000-btc,btc,BTC-USD,buy,0.009985,limit,day,79978.56786,79818.93,798.5860000821,below band: 32.13% vs 33.00%-37.00%,filled,,79882.78514399998,0.7976296096628398
2026-11-25 06:30:00-05:00,pre,crypto,crypto-3,20261125T063000-btc,btc,BTC-USD,sell,0.000925,limit,day,98862.81812,99060.94,91.448106761,above band: 37.09% vs 33.00%-37.00%,filled,,99031.221718,0.09160388008915002
2026-11-25 07:00:00-05:00,pre,crypto,crypto-4,20261125T070000-btc,btc,BTC-USD,sell,0.000557,limit,day,99255.6409,99454.55,55.285391981299995,above band: 37.05% vs 33.00%-37.00%,filled,,99424.71363500001,0.055379565494695
2026-11-25 07:30:00-05:00,pre,crypto,crypto-5,20261125T073000-btc,btc,BTC-USD,sell,0.001504,limit,day,100035.4282,100235.9,150.4532840128,above band: 37.15% vs 33.00%-37.00%,filled,,100205.82923,0.15070956716192
2026-11-25 14:30:00-05:00,regular,crypto,crypto-6,20261125T143000-eth,eth,ETH-USD,sell,0.00669,limit,day,3763.23844,3770.78,25.1760651636,above band: 16.52% vs 13.50%-16.50%,filled,,3769.6487660000003,0.02521895024454
2026-12-03 04:00:00-05:00,pre,crypto,crypto-7,20261203T040000-btc,btc,BTC-USD,sell,0.000555,limit,day,102538.32238,102743.81,56.9087689209,above band: 37.05% vs 33.00%-37.00%,filled,,102712.986857,0.057005707705635005
2026-12-03 04:30:00-05:00,pre,crypto,crypto-8,20261203T043000-btc,btc,BTC-USD,sell,0.000907,limit,day,102881.7242,103087.9,93.3137238494,above band: 37.09% vs 33.00%-37.00%,filled,,103056.97363,0.09347267508240999
2026-12-03 08:30:00-05:00,pre,crypto,crypto-9,20261203T083000-btc,btc,BTC-USD,sell,0.000624,limit,day,102698.0922,102903.9,64.0836095328,above band: 37.06% vs 33.00%-37.00%,filled,,102873.02883,0.06419276998992
2026-12-04 14:30:00-05:00,regular,crypto,crypto-10,20261204T143000-btc,btc,BTC-USD,sell,0.00077,limit,day,100864.42688,101066.56,77.66560869759999,above band: 37.08% vs 33.00%-37.00%,filled,,101036.240032,0.07779790482464
2026-12-04 19:30:00-05:00,post,crypto,crypto-11,20261204T193000-btc,btc,BTC-USD,sell,0.001002,limit,day,101117.859,101320.5,101.32009471800001,above band: 37.10% vs 33.00%-37.00%,filled,,101290.10385,0.1014926840577
