segment_type,segment,sample_size,positive_rate,precision,recall,false_negative_rate,brier_score,reliable_volume
supplier,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),104,0.0,0.0,,,0.0040470772107850895,True
supplier,"ABBVIE, SRL (FORMALLY ABBOTT LABORATORIES INTERNATIONAL CO.)",1,0.0,0.0,,,0.0371180877030553,False
supplier,ACOUNS NIGERIA LTD,1,0.0,,,,0.023861458126776394,False
supplier,AMSTELFARMA B.V.,3,0.0,,,,0.0,False
supplier,ASPEN PHARMACARE,2,0.0,,,,0.0,False
supplier,Aurobindo Pharma Limited,96,0.0,0.0,,,0.02093907614977435,True
supplier,B&C GROUP S.A.,2,0.0,,,,0.0,False
supplier,BIO-RAD LABORATORIES (FRANCE),6,0.0,,,,0.0003550295857988166,False
supplier,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",24,0.0,,,,0.0008875739644970416,True
supplier,CIPLA LIMITED,31,0.0,0.0,,,0.013569799227333016,True
supplier,EMCURE PHARMACEUTICALS LTD,23,0.0,,,,0.002268593111415121,True
supplier,ETHNOR DEL ISTMO S.A.,1,0.0,,,,0.0,False
supplier,HETERO LABS LIMITED,110,0.0,0.0,,,0.0019441022207314128,True
supplier,IMRES B.V.,2,0.0,,,,0.0,False
supplier,INVERNESS MEDICAL INNOVATIONS HONG KONG LTD,1,0.0,,,,0.0,False
supplier,JANSSEN SCIENCES IRELAND UC (FORMERLY JANSSEN R&D IRELAND),7,0.0,,,,0.0,False
supplier,LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB),4,0.0,,,,0.0,False
supplier,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),8,0.0,,,,0.0,False
supplier,MICRO LABS LIMITED,9,0.0,,,,0.0002366863905325444,False
supplier,"MSD LATIN AMERICA SERVICES, S. DE R.L. DE C.V.",2,0.0,,,,0.0,False
supplier,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),88,0.0,,,,0.0008287058446436669,True
supplier,Orasure Technologies Inc.,6,0.0,,,,0.002425385083520899,False
supplier,"Orgenics, Ltd",141,0.07092198581560284,0.16666666666666666,0.6,0.4,0.06363901784595574,True
supplier,PHARMACY DIRECT,58,0.0,0.0,,,0.0847747977097222,True
supplier,"RAININ INSTRUMENT, LLC.",1,0.0,0.0,,,0.0371180877030553,False
supplier,S. BUYS WHOLESALER,29,0.0,0.0,,,0.022431214146709958,True
supplier,SCMS from RDC,620,0.23709677419354838,0.25,0.4489795918367347,0.5510204081632653,0.19554316917704792,True
supplier,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",25,0.08,,0.0,1.0,0.08,True
supplier,STRIDES ARCOLAB LIMITED,16,0.0,0.0,,,0.01293480732135981,False
supplier,SWORDS LABORATORIES,3,0.0,,,,0.0,False
supplier,"Standard Diagnostics, Inc.",10,0.0,,,,0.0028121813156362194,False
supplier,"Trinity Biotech, Plc",44,0.0,,,,0.0003873050026896181,True
supplier,WAGENIA,1,0.0,,,,0.0,False
supplier_volume_group,high,1313,0.11957349581111958,0.21301775147928995,0.4585987261146497,0.5414012738853503,0.10226373344769601,True
supplier_volume_group,low,96,0.0,0.0,,,0.052262146648037154,True
supplier_volume_group,medium,70,0.02857142857142857,,0.0,1.0,0.0295551447082638,True
country,Afghanistan,2,0.0,,,,0.0,False
country,Botswana,3,0.0,,,,0.010291955471539594,False
country,Burkina Faso,2,0.0,,,,0.012995817820784647,False
country,Burundi,27,0.037037037037037035,0.0,0.0,1.0,0.043044143282143885,True
country,Cameroon,16,0.0625,1.0,1.0,0.0,0.048742030954374446,False
