window_start,campaign,risk_score,recommended_action,impressions,clicks,conversions,ctr,conversion_per_click,repeat_event_share,top_source_share,active_click_minute_share,total_cost_units,evidence_summary,data_period
54000,2576437,0.9976845596785653,escalate_for_manual_decision,1017,897,6,0.8820058997050148,0.006688963210702341,0.9075712881022615,0.8849557522123894,0.9,0.08375156439303429,unusually high impression volume; click rate above the usual campaign-window range; many events came from returning user IDs,test
45000,24378636,0.991958754410468,escalate_for_manual_decision,1058,895,7,0.8459357277882797,0.00782122905027933,0.8686200378071833,0.8506616257088847,0.9666666666666667,0.13663078328950448,unusually high impression volume; click rate above the usual campaign-window range; many events came from returning user IDs,train
12600,10341182,0.9684886457719017,escalate_for_manual_decision,1156,955,23,0.8261245674740484,0.024083769633507852,0.8070934256055363,0.7785467128027682,0.9666666666666667,0.12378792857072625,unusually high impression volume; click rate above the usual campaign-window range; many events came from returning user IDs,train
25200,28351001,0.9315718228698855,escalate_for_manual_decision,603,516,24,0.8557213930348259,0.046511627906976744,0.8092868988391376,0.7512437810945274,1.0,0.09444621389888505,unusually high impression volume; click rate above the usual campaign-window range; many events came from returning user IDs,train
27000,28351001,0.8895535451417698,temporary_throttle_candidate,636,533,17,0.8380503144654088,0.03189493433395872,0.7610062893081762,0.7028301886792453,1.0,0.09621580392791605,unusually high impression volume; click rate above the usual campaign-window range; many events came from returning user IDs,train
39600,32452111,0.8617852884004202,temporary_throttle_candidate,1115,55,9,0.04932735426008968,0.16363636363636364,0.6161434977578475,0.4484304932735426,0.8333333333333334,0.09742047836560047,unusually high impression volume; many events came from returning user IDs,train
19800,31772643,0.8563768706340058,temporary_throttle_candidate,968,31,0,0.03202479338842975,0.0,0.6167355371900827,0.4669421487603306,0.5666666666666667,0.11170954989364441,unusually high impression volume; many events came from returning user IDs; clicks produced very few downstream conversions,train
64800,7121544,0.8298506786323796,temporary_throttle_candidate,963,41,3,0.04257528556593977,0.07317073170731707,0.5919003115264797,0.4517133956386293,0.7666666666666667,0.08156672059468004,unusually high impression volume; many events came from returning user IDs,test
34200,29427842,0.8035669565417165,temporary_throttle_candidate,785,304,35,0.3872611464968153,0.11513157894736842,0.4305732484076433,0.06624203821656051,0.9333333333333333,0.19034672065249475,unusually high impression volume,train
63000,23817046,0.7249853868308878,review,769,271,35,0.35240572171651496,0.12915129151291513,0.4616384915474642,0.054616384915474644,0.9666666666666667,0.07030283459200956,unusually high impression volume,test
21600,31772643,0.6935970628402577,review,607,42,5,0.06919275123558484,0.11904761904761904,0.44481054365733114,0.41680395387149916,0.7333333333333333,0.06243894784556756,unusually high impression volume,train
72000,28874676,0.6914847949528616,review,722,244,30,0.3379501385041551,0.12295081967213115,0.4362880886426593,0.13573407202216067,0.9333333333333333,0.064218265015093,unusually high impression volume,test
66600,7121544,0.6675688973420227,review,620,34,1,0.054838709677419356,0.029411764705882353,0.4080645161290323,0.45645161290322583,0.6,0.05679526919141976,unusually high impression volume,test
59400,5061834,0.6345295730407348,review,472,136,15,0.288135593220339,0.11029411764705882,0.1271186440677966,0.3834745762711864,0.9666666666666667,0.2578469775830547,unusually high impression volume,test
61200,14661605,0.617353305706968,review,389,168,10,0.4318766066838046,0.05952380952380952,0.4370179948586118,0.14395886889460155,1.0,0.08560413829928162,unusually high impression volume,test
68400,2865314,0.613447479137238,review,410,152,1,0.37073170731707317,0.006578947368421052,0.44878048780487806,0.12439024390243902,0.9666666666666667,0.0537513813445248,unusually high impression volume,test
55800,5061834,0.6128858733004904,review,489,141,13,0.2883435582822086,0.09219858156028368,0.11042944785276074,0.38650306748466257,0.9333333333333333,0.2380132777139244,unusually high impression volume,test
