developer_id,repository_id,interaction_type,interaction_weight,interaction_timestamp,timestamp_available,metadata_source
170270,1083253848,starred,2.0,2026-07-09 22:59:29+00:00,True,github_rest_api
170270,1085689636,starred,2.0,2026-07-08 22:47:51+00:00,True,github_rest_api
170270,1087244716,starred,2.0,2026-06-30 22:42:50+00:00,True,github_rest_api
170270,967268430,starred,2.0,2026-06-30 22:42:08+00:00,True,github_rest_api
170270,1199636461,starred,2.0,2026-04-13 18:45:21+00:00,True,github_rest_api
170270,829743861,starred,2.0,2026-04-08 20:39:21+00:00,True,github_rest_api
170270,1166652904,starred,2.0,2026-03-25 21:18:16+00:00,True,github_rest_api
170270,1139375731,starred,2.0,2026-02-27 17:50:02+00:00,True,github_rest_api
170270,1094707785,starred,2.0,2026-02-16 10:38:24+00:00,True,github_rest_api
170270,1089049432,starred,2.0,2026-02-16 10:38:10+00:00,True,github_rest_api
170270,1079867535,starred,2.0,2026-01-05 19:15:35+00:00,True,github_rest_api
170270,1070019559,starred,2.0,2026-01-04 15:01:12+00:00,True,github_rest_api
170270,968606461,starred,2.0,2025-11-08 06:31:47+00:00,True,github_rest_api
170270,5617111,starred,2.0,2025-11-08 06:31:45+00:00,True,github_rest_api
170270,4205767,starred,2.0,2025-11-08 06:31:43+00:00,True,github_rest_api
170270,1078740862,starred,2.0,2025-11-05 18:27:41+00:00,True,github_rest_api
170270,716660564,starred,2.0,2025-11-05 18:27:09+00:00,True,github_rest_api
170270,795552264,starred,2.0,2025-10-25 16:49:44+00:00,True,github_rest_api
170270,417489028,starred,2.0,2025-10-25 16:49:42+00:00,True,github_rest_api
170270,368854291,starred,2.0,2025-10-21 07:44:01+00:00,True,github_rest_api
170270,1045579103,starred,2.0,2025-10-20 14:08:18+00:00,True,github_rest_api
170270,1062812718,starred,2.0,2025-10-20 14:08:06+00:00,True,github_rest_api
170270,989351889,starred,2.0,2025-08-27 12:05:12+00:00,True,github_rest_api
170270,847271283,starred,2.0,2025-08-12 03:19:22+00:00,True,github_rest_api
170270,1007222028,starred,2.0,2025-08-05 17:34:28+00:00,True,github_rest_api
170270,965415649,starred,2.0,2025-04-16 19:03:07+00:00,True,github_rest_api
170270,804489750,starred,2.0,2025-04-08 18:57:08+00:00,True,github_rest_api
170270,825286653,starred,2.0,2025-04-08 18:56:58+00:00,True,github_rest_api
170270,833786672,starred,2.0,2025-04-08 18:56:51+00:00,True,github_rest_api
170270,833851449,starred,2.0,2025-04-08 18:56:34+00:00,True,github_rest_api
170270,847384854,starred,2.0,2025-04-08 18:56:02+00:00,True,github_rest_api
170270,959682770,starred,2.0,2025-04-04 13:19:39+00:00,True,github_rest_api
170270,709150027,starred,2.0,2025-01-23 08:47:17+00:00,True,github_rest_api
170270,844465325,starred,2.0,2024-09-17 08:20:09+00:00,True,github_rest_api
170270,12277886,starred,2.0,2024-08-20 08:06:12+00:00,True,github_rest_api
170270,833150575,starred,2.0,2024-08-03 22:37:35+00:00,True,github_rest_api
170270,793180075,starred,2.0,2024-08-03 22:33:43+00:00,True,github_rest_api
170270,792692503,starred,2.0,2024-07-26 00:30:42+00:00,True,github_rest_api
170270,796364535,starred,2.0,2024-07-08 13:09:50+00:00,True,github_rest_api
170270,796362025,starred,2.0,2024-06-19 21:49:31+00:00,True,github_rest_api
170270,796260752,starred,2.0,2024-06-19 21:49:23+00:00,True,github_rest_api
170270,807854206,starred,2.0,2024-06-14 18:27:58+00:00,True,github_rest_api
170270,796367049,starred,2.0,2024-06-04 23:57:01+00:00,True,github_rest_api
170270,796369880,starred,2.0,2024-05-27 21:33:32+00:00,True,github_rest_api
170270,791741481,starred,2.0,2024-05-12 17:11:37+00:00,True,github_rest_api
170270,770212480,starred,2.0,2024-05-12 17:10:31+00:00,True,github_rest_api
170270,708699084,starred,2.0,2024-05-12 17:07:01+00:00,True,github_rest_api
170270,4746018,starred,2.0,2024-04-28 16:51:49+00:00,True,github_rest_api
170270,13967755,starred,2.0,2024-04-27 10:10:16+00:00,True,github_rest_api
170270,770018650,starred,2.0,2024-04-20 15:25:49+00:00,True,github_rest_api
170270,19270630,starred,2.0,2024-04-03 07:41:11+00:00,True,github_rest_api
170270,714675984,starred,2.0,2024-04-03 07:40:38+00:00,True,github_rest_api
170270,718777299,starred,2.0,2024-03-10 18:00:54+00:00,True,github_rest_api
170270,714044439,starred,2.0,2024-02-22 07:14:55+00:00,True,github_rest_api
170270,713556972,starred,2.0,2024-02-22 07:14:45+00:00,True,github_rest_api
170270,721821057,starred,2.0,2024-02-11 10:08:15+00:00,True,github_rest_api
170270,721577994,starred,2.0,2024-01-06 08:53:47+00:00,True,github_rest_api
170270,711160838,starred,2.0,2024-01-05 05:16:39+00:00,True,github_rest_api
170270,518089561,starred,2.0,2024-01-05 05:16:27+00:00,True,github_rest_api
170270,736897394,starred,2.0,2023-12-29 10:02:39+00:00,True,github_rest_api
170270,713879159,starred,2.0,2023-12-23 18:31:55+00:00,True,github_rest_api
170270,711135937,starred,2.0,2023-12-23 18:31:38+00:00,True,github_rest_api
170270,517645892,starred,2.0,2023-12-01 18:46:27+00:00,True,github_rest_api
