ts,session,venue,order_id,client_id,sleeve,instrument,side,qty,order_type,time_in_force,limit_price,reference_price,notional,reason,status,reject_reason,fill_price,fee
2026-12-10 00:00:00-05:00,overnight,crypto,crypto-1,20261210T000000-btc,btc,BTC-USD,sell,0.000308,limit,day,109303.56478,109522.61,33.66549795224,above band: 23.03% vs 17.00%-23.00%,filled,,109489.753217,0.033722843990836006
2026-12-10 00:30:00-05:00,overnight,crypto,crypto-2,20261210T003000-btc,btc,BTC-USD,sell,0.001009,limit,day,110010.16874,110230.63,111.00026025865998,above band: 23.11% vs 17.00%-23.00%,filled,,110197.560811,0.11118933885829899
2026-12-10 01:00:00-05:00,overnight,crypto,crypto-3,20261210T010000-btc,btc,BTC-USD,sell,0.002487,limit,day,111827.11756,112051.22,278.11404137172,above band: 23.28% vs 17.00%-23.00%,filled,,112017.604634,0.27858778272475804
2026-12-10 01:30:00-05:00,overnight,crypto,crypto-4,20261210T013000-btc,btc,BTC-USD,sell,0.001619,limit,day,113085.21632,113311.84,183.08496522208,above band: 23.18% vs 17.00%-23.00%,filled,,113277.846448,0.18339683339931198
2026-12-10 02:00:00-05:00,overnight,crypto,crypto-5,20261210T020000-btc,btc,BTC-USD,sell,0.001364,limit,day,114313.99384,114543.08,155.92428759775999,above band: 23.15% vs 17.00%-23.00%,filled,,114508.717076,0.156189890091664
2026-12-10 02:30:00-05:00,overnight,crypto,crypto-6,20261210T023000-btc,btc,BTC-USD,sell,0.000854,limit,day,115245.81646,115476.77,98.41992725684001,above band: 23.10% vs 17.00%-23.00%,filled,,115442.126969,0.098587576431526
2026-12-10 03:00:00-05:00,overnight,crypto,crypto-7,20261210T030000-btc,btc,BTC-USD,sell,0.000892,limit,day,116029.68558,116262.21,103.49847953736,above band: 23.10% vs 17.00%-23.00%,filled,,116227.33133700001,0.10367477955260401
2026-12-10 03:30:00-05:00,overnight,crypto,crypto-8,20261210T033000-btc,btc,BTC-USD,sell,0.001028,limit,day,116891.32884,117125.58,120.16428604752001,above band: 23.12% vs 17.00%-23.00%,filled,,117090.442326,0.120368974711128
2026-12-10 04:00:00-05:00,pre,crypto,crypto-9,20261210T040000-btc,btc,BTC-USD,sell,0.000361,limit,day,117179.30174,117414.13,42.30172792814,above band: 23.04% vs 17.00%-23.00%,filled,,117378.905761,0.042373784979721
2026-12-10 06:00:00-05:00,pre,crypto,crypto-10,20261210T060000-btc,btc,BTC-USD,sell,0.000906,limit,day,118331.79214,118568.93,107.20860367884,above band: 23.10% vs 17.00%-23.00%,filled,,118533.359321,0.10739122354482601
2026-12-10 07:00:00-05:00,pre,crypto,crypto-11,20261210T070000-btc,btc,BTC-USD,sell,0.000545,limit,day,118522.40016,118759.92,64.5947080872,above band: 23.06% vs 17.00%-23.00%,filled,,118724.29202400001,0.06470473915308002
2026-12-10 08:00:00-05:00,pre,crypto,crypto-12,20261210T080000-btc,btc,BTC-USD,sell,0.000597,limit,day,119243.64478,119482.61,71.18845593366,above band: 23.07% vs 17.00%-23.00%,filled,,119446.76521700001,0.07130971883454901
2026-12-10 08:30:00-05:00,pre,crypto,crypto-13,20261210T083000-btc,btc,BTC-USD,sell,0.000637,limit,day,119586.15838,119825.81,76.17638288805999,above band: 23.07% vs 17.00%-23.00%,filled,,119789.862257,0.076306142257709
2026-12-10 09:00:00-05:00,pre,crypto,crypto-14,20261210T090000-eth,eth,ETH-USD,sell,0.01538,limit,day,4228.83538,4237.31,65.03948814440001,above band: 12.06% vs 8.00%-12.00%,filled,,4236.038807000001,0.06515027685166001
2026-12-10 09:00:00-05:00,pre,crypto,crypto-15,20261210T090000-btc,btc,BTC-USD,sell,0.000334,limit,day,120021.14666,120261.67,40.087062984439996,above band: 23.04% vs 17.00%-23.00%,filled,,120225.591499,0.040155347560666
2026-12-10 09:30:00-05:00,regular,crypto,crypto-16,20261210T093000-btc,btc,BTC-USD,sell,0.000524,limit,day,120622.4716,120864.2,63.20617511840001,above band: 23.06% vs 17.00%-23.00%,filled,,120827.94074,0.06331384094776
2026-12-10 09:30:00-05:00,regular,crypto,crypto-17,20261210T093000-eth,eth,ETH-USD,sell,0.01076,limit,day,4254.41412,4262.94,45.77749593120001,above band: 12.04% vs 8.00%-12.00%,filled,,4261.661118,0.04585547362968
2026-12-10 09:30:00-05:00,regular,equities,equities-1,20261210T093000-us_large_cap,us_large_cap,VOO,buy,3.0,limit,day,524.71,523.66,1574.13,below band: 40.45% vs 42.00%-48.00%,filled,,523.712366,0.0
2026-12-11 00:00:00-05:00,overnight,crypto,crypto-18,20261211T000000-btc,btc,BTC-USD,sell,0.000397,limit,day,120536.76336,120778.32,47.85309505392,above band: 23.05% vs 17.00%-23.00%,filled,,120742.086504,0.04793460834208801
2026-12-11 01:30:00-05:00,overnight,crypto,crypto-19,20261211T013000-btc,btc,BTC-USD,sell,0.000438,limit,day,121260.4431,121503.45,53.1120740778,above band: 23.05% vs 17.00%-23.00%,filled,,121466.998965,0.05320254554667
2026-12-13 16:00:00-05:00,weekend,crypto,crypto-20,20261213T160000-eth,eth,ETH-USD,sell,0.01644,limit,day,4246.69958,4255.21,69.81574109520001,above band: 12.07% vs 8.00%-12.00%,filled,,4251.805832,0.06989968787808
2026-12-13 16:30:00-05:00,weekend,crypto,crypto-21,20261213T163000-eth,eth,ETH-USD,sell,0.02537,limit,day,4293.43592,4302.04,108.9244692904,above band: 12.11% vs 8.00%-12.00%,filled,,4298.598368,0.10905544059616
2026-12-13 18:00:00-05:00,weekend,crypto,crypto-22,20261213T180000-eth,eth,ETH-USD,sell,0.00699,limit,day,4309.863,4318.5,30.12594237,above band: 12.03% vs 8.00%-12.00%,filled,,4315.0452,0.030162165947999996
2026-12-13 19:00:00-05:00,weekend,crypto,crypto-23,20261213T190000-eth,eth,ETH-USD,sell,0.01187,limit,day,4328.19626,4336.87,51.3756896062,above band: 12.05% vs 8.00%-12.00%,filled,,4333.400504,0.05143746398248
2026-12-13 21:00:00-05:00,overnight,crypto,crypto-24,20261213T210000-eth,eth,ETH-USD,sell,0.0239,limit,day,4367.43762,4376.19,104.38175911799999,above band: 12.10% vs 8.00%-12.00%,filled,,4374.877143,0.1045595637177
2026-12-14 22:00:00-05:00,overnight,crypto,crypto-25,20261214T220000-eth,eth,ETH-USD,sell,0.00627,limit,day,4378.4256,4387.2,27.452728512,above band: 12.03% vs 8.00%-12.00%,filled,,4385.8838399999995,0.0274994916768
2026-12-14 22:30:00-05:00,overnight,crypto,crypto-26,20261214T223000-eth,eth,ETH-USD,sell,0.01188,limit,day,4411.16998,4420.01,52.404699362399995,above band: 12.05% vs 8.00%-12.00%,filled,,4418.683997,0.05249396588436
